Bible range,Mishnah range,Mishneh Torah unit,Shulchan Aruch simanim
"Permitted/Forbidden Species: Lev 11:1-47; Deut 14:3-21","Chullin 1-12","Sefer Kedushah: Hilkhot Ma'akhalot Asurot","Yoreh De'ah 1-122"
"Ritual Slaughter: Deut 12:20-25","Chullin 1-12","Sefer Kedushah: Hilkhot Shechitah","Yoreh De'ah 1-28"
"Blood/Fat/Meat Prohibitions: Lev 3:17; Lev 7:22-27; Lev 17:10-14","Chullin 7-8","Sefer Kedushah: Hilkhot Ma'akhalot Asurot","Yoreh De'ah 67-122"
"Firstborn (animal/human): Ex 13:1-2; Num 18:15-18; Deut 15:19-23","Bekhorot 1-9","Sefer Korbanot: Hilkhot Bekhorot","Yoreh De'ah 305-322"
"Orlah: Lev 19:23-25","Orlah 1-3","Sefer Zeraim: Hilkhot Ma'aser Sheni veNeta Revai","Yoreh De'ah 294"
"Marriage/Kiddushin: Deut 24:1; Ex 21:10","Kiddushin 1-4; Ketubot 1-13","Sefer Nashim: Hilkhot Ishut","Even HaEzer 1-118"
"Vows: Num 30:2-17","Nedarim 1-11","Sefer Hafla'ah: Hilkhot Nedarim; Hilkhot Shevuot","Yoreh De'ah 203-239"
"Nazirite: Num 6:1-21","Nazir 1-9","Sefer Hafla'ah: Hilkhot Nezirut","(no dedicated practical section)"
"Sotah ordeal: Num 5:11-31","Sotah 1-9","Sefer Nashim: Hilkhot Sotah","(no dedicated practical section)"
"Divorce: Deut 24:1-4","Gittin 1-9","Sefer Nashim: Hilkhot Gerushin","Even HaEzer 119-154"
"Levirate/Yibbum-Chalitzah: Deut 25:5-10","Yevamot 1-16","Sefer Nashim: Hilkhot Yibbum vaChalitzah","Even HaEzer 156-177"
"Niddah: Lev 15:19-30; Lev 18:19","Niddah 1-10","Sefer Kedushah: Hilkhot Issurei Bi'ah","Yoreh De'ah 183-202"
"Torts/Damages: Ex 21:18-36; Ex 22:1-14","Bava Kamma 1-10","Sefer Nezikin: Hilkhot Nizkei Mamon; Chovel uMazik; Genevah; Gezelah vaAvedah","Choshen Mishpat 1-427"
"Commerce/Loans/Deposits: Ex 22:6-14; Lev 25:35-37; Deut 23:20-21","Bava Metzia 1-10","Sefer Kinyan; Sefer Mishpatim (selected hilkhot)","Choshen Mishpat 1-427; Yoreh De'ah 159-177"
"Real Estate/Partnerships/Inheritance: Num 27:1-11; Num 36:1-12; Deut 19:14","Bava Batra 1-10","Sefer Kinyan; Sefer Nachalah","Choshen Mishpat 1-427"
"Courts/Testimony/Penalties: Deut 16:18-20; Deut 17:8-13; Deut 19:15-21","Sanhedrin 1-11; Makkot 1-3; Shevuot 1-8; Eduyot 1-8; Horayot 1-3","Sefer Shoftim; Sefer Nezikin (selected hilkhot)","Choshen Mishpat 1-427"
"Offerings (animal/meal): Lev 1:1-7:38; Num 28:1-29:40","Zevachim 1-14; Menachot 1-13","Sefer Avodah; Sefer Korbanot","(no full practical code parallel)"
"Temple Daily Service/Structure: Ex 25:1-31:18; Ex 35:1-40:38","Tamid 1-7; Middot 1-5","Sefer Avodah: Hilkhot Temidin uMusafin; Beit haBechirah","(no full practical code parallel)"
"Bird Offerings/Nest Cases: Lev 1:14-17; Lev 5:7-10","Kinnim 1-3","Sefer Korbanot (relevant hilkhot)","(no full practical code parallel)"
"Purity/Impurity Systems: Lev 11-15; Num 19:1-22","Kelim 1-30; Oholot 1-18; Negaim 1-14; Parah 1-12; Tahorot 1-10; Mikvaot 1-10","Sefer Taharah","(no full practical code parallel)"
"Peah/Leket/Shikhechah: Lev 19:9-10; Lev 23:22; Deut 24:19-22","Peah 1-8","Sefer Zeraim: Hilkhot Matanot Aniyim","Yoreh De'ah 332-334 (selected)"
"Terumah/Ma'aser: Num 18:8-32; Deut 14:22-29; Deut 26:12-15","Terumot 1-11; Maasrot 1-5; Demai 1-7","Sefer Zeraim: Hilkhot Terumot; Ma'aser; Ma'aser Sheni","Yoreh De'ah 331-334 (selected)"
"Shemitah/Yovel: Lev 25:1-24; Deut 15:1-11","Sheviit 1-10","Sefer Zeraim: Hilkhot Shemitah veYovel","Yoreh De'ah 331-334 (selected)"
"Kilayim: Lev 19:19; Deut 22:9-11","Kilayim 1-9","Sefer Zeraim: Hilkhot Kilayim","Yoreh De'ah 295-304"
"Challah: Num 15:17-21","Challah 1-4","Sefer Zeraim: Hilkhot Bikkurim (includes challah laws)","Yoreh De'ah 322-330"
"Bikkurim: Deut 26:1-11","Bikkurim 1-4","Sefer Zeraim: Hilkhot Bikkurim","Yoreh De'ah 331-334 (selected)"
